org,repo-name,repo-uri,component,repo-description,code-owners,experts,notes
"timmalich","reporeport","https://github.com/timmalich/reporeport","just fun","Simple scraper to generate are report about all repositories across multiple organizations","timmalich ","Tim","Was just to lazy to create the excel for more than 200 repos by hand.<br /> Might got a bit carried away though."
"timmalich","edukiz","https://github.com/timmalich/edukiz","just fun","Simple HTML/JS educational games for children","","Tim","Yeah, we got notes"
"timmalich","openiam","https://github.com/timmalich/openiam","","Dummy project for job candidates ","","",""
"timmalich","cheatSheet","https://github.com/timmalich/cheatSheet","","my cheat sheet","","",""
"timmalich","codekatas","https://github.com/timmalich/codekatas","","Custom Code Katas","","",""
"timmalich","postgresql-query-tuning-for-dummies","https://github.com/timmalich/postgresql-query-tuning-for-dummies","","Repository with a containered Postgresql, dummy data and Query Tuning Samples","","",""
"timmalich","playground","https://github.com/timmalich/playground","","nothing good in here. just a place for me where i can persist my junk code","","",""
"timmalich","fiqlmybatis","https://github.com/timmalich/fiqlmybatis","","Just an example project that combines Mybatis with a RSQL/FIQL parser.","","",""
"timmalich","charts","https://github.com/timmalich/charts","","Hazelcast Official Helm Chart Repository","","",""
"timmalich","edukiz_live","https://github.com/timmalich/edukiz_live","","https://github.com/timmalich/edukiz/ distribution","","",""
"timmalich","task","https://github.com/timmalich/task","","A task runner / simpler Make alternative written in Go","","",""
"timmalich","fable-spring-read-replica","https://github.com/timmalich/fable-spring-read-replica","","An example of splitting read and write database operations using Spring Boot 2.0","","",""
"timmalich","hibernate-types","https://github.com/timmalich/hibernate-types","","The Hibernate Types library gives you extra types that are not supported by the Hibernate ORM core.","","",""
"timmalich","rsql-parser","https://github.com/timmalich/rsql-parser","","Parser for RSQL / FIQL – query language for RESTful APIs","","",""
"timmalich","spring-boot-Olingo-oData","https://github.com/timmalich/spring-boot-Olingo-oData","","Template Project showing how to use Spring Boot and Olingo for creating oData based Rest Services","","",""
"timmalich","NodeJs-Raspberry-Pi","https://github.com/timmalich/NodeJs-Raspberry-Pi","","Install NodeJs on your Raspberry Pi 1, 2, 3, zero, and zero w","","",""
"timmalich","kafka-docker","https://github.com/timmalich/kafka-docker","","Dockerfile for Apache Kafka","","",""
"timmalich","kali-rpi-luks-crypt","https://github.com/timmalich/kali-rpi-luks-crypt","","Full disk encryption for Kali on Raspberry using LUKS","","",""
"timmalich","multi-file-swagger-example","https://github.com/timmalich/multi-file-swagger-example","","Multi-file Swagger example","","",""
